Parámetro,Valor Verdadero,Media Posterior,Mediana Posterior,IC 2.5%,IC 97.5%,Estimación MLE
μ (drift),0.08,0.20411178571923175,0.16412380937590987,-0.15421442359417362,0.5945973106231477,0.06292715837902611
σ (volatilidad),0.25,0.2421585603048569,0.2417950652448383,0.22186818646066386,0.2649722365110119,0.24132358172697876
